k,t_s,offset_ns,offset_simulink_ns,meas_ns,corr_ppb,freq_adj,adj_valid
197,0.197,29.9742431640625,29.9742793976692,134.693401271215,61313.1143605324,-1685362,0
198,0.198,18.1611328125,18.1611478700817,3.93519640343291,50338.1618803863,-1383685,0
199,0.199,17.3228759765625,17.3229705430803,15.0031986717922,51327.6822354027,-1410885,0
200,0.2,15.4952392578125,15.4952658048287,32.6808559750866,52942.5487064488,-1455274,0
201,0.201,12.0526123046875,12.0527002078985,20.8762889214228,52032.770825116,-1430266,0
202,0.202,9.5198974609375,9.51990698814838,-44.2978890051768,46379.862756237,-1274880,0
203,0.203,12.6400146484375,12.6400283873233,8.53236538219837,50854.0370765336,-1397865,0
204,0.204,11.285888671875,11.2859750579609,-2.82298576222948,49888.4519543529,-1371323,0
205,0.205,10.8974609375,10.8975004035845,-0.736831287266114,50060.8884003604,-1376063,0
206,0.206,10.3365478515625,10.3365930911084,55.5138688243095,55008.0410002569,-1512050,0
207,0.207,4.8284912109375,4.8285325148591,71.7091382671419,56652.3934653445,-1557249,0
208,0.208,-2.3238525390625,-2.32388035874862,-23.1848466724209,48584.8304685417,-1335490,0
209,0.209,-1.4088134765625,-1.40872431574389,6.32815779179269,51090.4410867297,-1404363,0
210,0.21,-2.9991455078125,-2.99918907537952,32.4442004190023,53413.6364048862,-1468223,0
211,0.211,-6.912841796875,-6.91283782508058,84.2663253144341,58102.0730989384,-1597098,0
212,0.212,-15.514892578125,-15.5149272802929,-39.8328462374863,47514.0294547108,-1306056,0
213,0.213,-13.529052734375,-13.5289697036496,-5.14839169400272,50409.0013775918,-1385632,0
214,0.214,-14.43798828125,-14.4379942733777,15.1940802708842,52178.8130600939,-1434280,0
215,0.215,-17.1168212890625,-17.1168230194021,-10.9356243441735,49939.3852828783,-1372723,0
216,0.216,-17.5562744140625,-17.5562243395914,-97.4750843235807,42280.7389597796,-1162204,0
217,0.217,-10.3370361328125,-10.336983888674,-57.5348902233511,45410.6444076903,-1248238,0
218,0.218,-6.2476806640625,-6.24764927429199,-105.42476523751,40969.1876598426,-1126152,0
219,0.219,2.2830810546875,2.28314371686224,-91.0558347342483,41817.4365709719,-1149469,0
220,0.22,9.9656982421875,9.96568492098877,67.149770835553,55380.0414255836,-1522275,0
221,0.221,4.085693359375,4.0856277096502,17.2753306867709,51256.1979877496,-1408920,0
222,0.222,2.3294677734375,2.32941859364807,129.600135386154,61208.9838068466,-1682500,0
223,0.223,-9.3795166015625,-9.37957753162033,-58.825342296662,45139.2031052634,-1240777,0
224,0.224,-5.018798828125,-5.01879172712003,-30.1582392084891,47429.6657256354,-1303737,0
225,0.225,-2.948486328125,-2.94847428917339,69.7519090561293,56102.6940445267,-1542139,0
226,0.226,-9.5511474609375,-9.55118563269212,-14.8159348194651,48936.104320428,-1345145,0
227,0.227,-8.9873046875,-8.98730288109977,41.3536420947948,53820.5337782156,-1479408,0
228,0.228,-13.307861328125,-13.3078529546706,-4.14733085387231,49979.7123377231,-1373832,0
229,0.229,-13.78759765625,-13.7875821727814,-42.1049671650889,46623.066680125,-1281565,0
230,0.23,-10.91064453125,-10.9106663920337,-82.262772218583,42922.9494250497,-1179857,0
231,0.231,-4.3336181640625,-4.33363013104527,17.9998253420386,51421.2845856655,-1413458,0
232,0.232,-6.2548828125,-6.25492981502069,-15.0759508702126,48581.6795894377,-1335403,0
233,0.233,-5.336669921875,-5.33662137239538,-22.3151131738212,47885.1134526846,-1316256,0
234,0.234,-3.7218017578125,-3.721755016027,-38.4274100476911,46379.1312609738,-1274860,0
235,0.235,-0.6009521484375,-0.600906500544086,27.6169808195535,52039.326242423,-1430446,0
236,0.236,-3.1402587890625,-3.14025305478447,11.3456458177041,50716.4806025358,-1394084,0
237,0.237,-4.356689453125,-4.35675063695744,-23.6499412071412,47681.6615540378,-1310664,0
238,0.238,-2.5384521484375,-2.53842330447753,61.6942401961631,55098.5795496427,-1514538,0
239,0.239,-8.136962890625,-8.13702164849456,-14.5258836740867,48634.7775093552,-1336863,0
240,0.24,-7.2718505859375,-7.27181035713902,3.57851177123828,50170.6161197985,-1379079,0
241,0.241,-7.9423828125,-7.9424461550775,-21.3931826162546,47987.234978172,-1319063,0
242,0.242,-6.4296875,-6.42969185593166,-18.4834695352666,48158.82944433,-1323780,0
243,0.243,-5.0885009765625,-5.08853696369215,150.280703842255,62937.1039638266,-1730002,0
244,0.244,-18.5255126953125,-18.5256537902067,53.8961634750249,55048.5726302796,-1513164,0
245,0.245,-24.07421875,-24.0742298916137,-63.6588732271056,44916.5114538915,-1234656,0
246,0.246,-19.4908447265625,-19.4907556954787,-14.6075245673441,48981.7049044499,-1346399,0
247,0.247,-18.9725341796875,-18.9724837211123,52.3597579555498,54817.1552594727,-1506802,0
248,0.248,-24.2896728515625,-24.2896590588827,-22.5741586745865,48429.6869204292,-1331225,0
249,0.249,-23.2193603515625,-23.2193630302213,-40.9770233184427,46721.1120533226,-1284260,0
250,0.25,-20.4405517578125,-20.440490739429,119.760589508418,60704.2446940252,-1668626,0
251,0.251,-31.6446533203125,-31.6447566841036,-55.1951073664752,45780.9581764138,-1258417,0
252,0.252,-27.92578125,-27.925721886436,-26.7765924446642,48063.8772056503,-1321170,0
253,0.253,-26.4896240234375,-26.489620029932,-95.1848914198719,41938.2329088605,-1152789,0
254,0.254,-18.9278564453125,-18.9278692384403,33.6004587287136,52895.5537706103,-1453982,0
255,0.255,-22.3233642578125,-22.3234378472412,-39.3838361593893,46605.5904315183,-1281085,0
256,0.256,-19.4290771484375,-19.4290377163682,2.99577020787492,50179.5084066802,-1379324,0
257,0.257,-20.1085205078125,-20.1085652160179,-19.2953121720606,48229.7204580266,-1325728,0
258,0.258,-18.8382568359375,-18.8382975183477,-10.3174531770103,48943.5941571357,-1345351,0
259,0.259,-18.2818603515625,-18.2819036975486,-4.96005942239952,49374.3115023987,-1357191,0
260,0.26,-18.15625,-18.1562268270035,-24.1100688263618,47669.5283602503,-1310330,0
261,0.261,-16.3258056640625,-16.3257724968506,0.203961439727788,49713.9764719397,-1366527,0
262,0.262,-16.539794921875,-16.5397672493651,-52.7337120732499,45056.2664425618,-1238497,0
263,0.263,-12.0960693359375,-12.096051619912,-30.5068496557137,46804.0376400397,-1286540,0
264,0.264,-9.400146484375,-9.40010642101732,-50.8714423348558,44891.5124418345,-1233968,0
265,0.265,-4.7916259765625,-4.79163806042548,-10.4815357051901,48244.9837709071,-1326148,0
266,0.266,-3.53662109375,-3.53663659812093,53.6235878741073,53844.8535429211,-1480076,0
267,0.267,-7.8814697265625,-7.88150455911866,-30.0049736225188,46697.246056145,-1283604,0
268,0.268,-5.0787353515625,-5.07876327124872,-4.21869956989583,48847.9785369141,-1342723,0
269,0.269,-4.4267578125,-4.42675493496152,42.1365455285882,52910.5846796788,-1454395,0
270,0.27,-7.8372802734375,-7.83735534136781,-72.6384123675743,42976.7434665633,-1181336,0
271,0.271,-1.3140869140625,-1.31410768681795,-15.8472175856866,47687.5921553423,-1310827,0
272,0.272,0.498291015625,0.498286797345787,40.7027021923175,52601.4202807783,-1445897,0
273,0.273,-2.6031494140625,-2.60314821870962,-85.8553958650067,41625.0019199891,-1144179,0
274,0.274,5.2718505859375,5.27183466627837,-2.06711046504776,48659.4139323104,-1337540,0
275,0.275,6.1124267578125,6.11240704034682,-25.6036614465729,46580.0364938202,-1280382,0
276,0.276,9.0323486328125,9.03235724996328,-69.3776646424301,42626.8409571937,-1171718,0
277,0.277,15.905517578125,15.9055005806046,76.928563210138,55227.8859882114,-1518093,0
278,0.278,10.1776123046875,10.1776011002987,1.78162296729703,48918.669214395,-1344666,0
279,0.279,10.7589111328125,10.7589179511199,16.1277533207843,50188.1625329768,-1379562,0
280,0.28,10.07080078125,10.0707399415969,12.8046923684183,49959.405539279,-1373274,0
281,0.281,9.611328125,9.61132485275358,30.5367915629966,51570.3831938724,-1417556,0
282,0.282,7.5408935546875,7.54092728357999,44.6153532216907,52929.8558729282,-1454925,0
283,0.283,4.111083984375,4.11105379216921,-95.7532959303938,40753.556162064,-1120225,0
284,0.284,12.857421875,12.8574855035176,-2.66524750743352,48567.2704109513,-1335007,0
285,0.285,13.7901611328125,13.7901948289539,88.0175005084761,56536.829839192,-1554073,0
286,0.286,6.75341796875,6.75334710899316,48.3509616442191,53393.6675111449,-1467674,0
287,0.287,2.859619140625,2.85967078496628,-6.9157040108277,48721.0905300721,-1339235,0
